	[Abort Jobs]
	OID	Abort	Delay
[1]	50	150	140
[2]	150	160	159
[3]	23	160	110
[4]	54	160	138
[5]	55	160	10
[6]	160	161	160
[7]	14	160	0
[8]	15	160	0
[9]	16	160	0
[10]	66	160	0
[11]	67	160	0
[12]	68	160	0
[13]	69	160	0
[14]	11	161	1
[15]	12	161	1
[16]	13	161	1
[17]	165	163	159
[18]	25	163	2
[19]	167	167	165
[20]	33	167	135
[21]	173	168	165
[22]	35	168	134
[23]	173	177	176
[24]	49	176	0
[25]	46	177	132
[26]	45	179	6
[27]	48	179	132
	[Jobs Done]
	OID	Departure	Delay
[Average Delay] 71.33 ms
[Success Rate] 0.00 %
